,PaperName,Year,sources,place,authors,hyperlink,citationG,citationO,citationI
0,"A wide conversion ratio, 92.8% efficiency, 3-level buck converter with adaptive on/off-time control and shared charge pump intermediate voltage regulator.","Proceedings of the 24th Asia and South Pacific Design Automation Conference, ASPDAC 2019, Tokyo, Japan, January 21-24, 2019.",Toshiyuki Shibuya, Taiwan,"Kousuke Miyaji, Yuki Karasawa, Takanobu Fukuoka",https://doi.org/10.1145/3287624.3287752,0,0,12
1,A three-dimensional millimeter-wave frequency-shift based CMOS biosensor using vertically stacked spiral inductors in LC oscillators.,"Proceedings of the 24th Asia and South Pacific Design Automation Conference, ASPDAC 2019, Tokyo, Japan, January 21-24, 2019.",Toshiyuki Shibuya, Taiwan,"Maya Matsunaga, Taiki Nakanishi, Atsuki Kobayashi, Kiichi Niitsu",https://doi.org/10.1145/3287624.3287749,1,7,0
2,"Design of 385 x 385 μm2 0.165V 270pW fully-integrated supply-modulated OOK transmitter in 65nm CMOS for glasses-free, self-powered, and fuel-cell-embedded continuous glucose monitoring contact lens.","Proceedings of the 24th Asia and South Pacific Design Automation Conference, ASPDAC 2019, Tokyo, Japan, January 21-24, 2019.",Toshiyuki Shibuya, Taiwan,"Kenya Hayashi, Shigeki Arata, Ge Xu, Shunya Murakami, Cong Dang Bui, Takuyoshi Doike, Maya Matsunaga, Atsuki Kobayashi, Kiichi Niitsu",https://doi.org/10.1145/3287624.3287753,1,0,0
3,2D optical imaging using photosystem I photosensor platform with 32x32 CMOS biosensor array.,"Proceedings of the 24th Asia and South Pacific Design Automation Conference, ASPDAC 2019, Tokyo, Japan, January 21-24, 2019.",Toshiyuki Shibuya, Taiwan,"Kiichi Niitsu, Taichi Sakabe, Mariko Miyachi, Yoshinori Yamanoi, Hiroshi Nishihara, Tatsuya Tomo, Kazuo Nakazato",https://doi.org/10.1145/3287624.3287751,0,0,0
4,Design of gate-leakage-based timer using an amplifier-less replica-bias switching technique in 55-nm DDC CMOS.,"Proceedings of the 24th Asia and South Pacific Design Automation Conference, ASPDAC 2019, Tokyo, Japan, January 21-24, 2019.",Toshiyuki Shibuya, Taiwan,"Atsuki Kobayashi, Yuya Nishio, Kenya Hayashi, Shigeki Arata, Kiichi Niitsu",https://doi.org/10.1145/3287624.3287756,0,0,0
5,A low-voltage CMOS electrophoresis IC using electroless gold plating for small-form-factor biomolecule manipulation.,"Proceedings of the 24th Asia and South Pacific Design Automation Conference, ASPDAC 2019, Tokyo, Japan, January 21-24, 2019.",Toshiyuki Shibuya, Taiwan,"Kiichi Niitsu, Yuuki Yamaji, Atsuki Kobayashi, Kazuo Nakazato",https://doi.org/10.1145/3287624.3287755,0,0,0
6,A low-voltage low-power multi-channel neural interface IC using level-shifted feedback technology.,"Proceedings of the 24th Asia and South Pacific Design Automation Conference, ASPDAC 2019, Tokyo, Japan, January 21-24, 2019.",Toshiyuki Shibuya, Taiwan,"Liangjian Lyu, Yu Wang, Chixiao Chen, C.-J. Richard Shi",https://doi.org/10.1145/3287624.3287757,1,1,0
7,"Development of a high stability, low standby power six-transistor CMOS SRAM employing a single power supply.","Proceedings of the 24th Asia and South Pacific Design Automation Conference, ASPDAC 2019, Tokyo, Japan, January 21-24, 2019.",Toshiyuki Shibuya, Taiwan,"Nobuaki Kobayashi, Tadayoshi Enomoto",https://doi.org/10.1145/3287624.3287748,0,0,0
8,Design of heterogeneously-integrated memory system with storage class memories and NAND flash memories.,"Proceedings of the 24th Asia and South Pacific Design Automation Conference, ASPDAC 2019, Tokyo, Japan, January 21-24, 2019.",Toshiyuki Shibuya, Taiwan,"Chihiro Matsui, Ken Takeuchi",https://doi.org/10.1145/3287624.3287754,3,2,0
9,A 65-nm CMOS fully-integrated circulating tumor cell and exosome analyzer using an on-chip vector network analyzer and a transmission-line-based detection window.,"Proceedings of the 24th Asia and South Pacific Design Automation Conference, ASPDAC 2019, Tokyo, Japan, January 21-24, 2019.",Toshiyuki Shibuya, Taiwan,"Taiki Nakanishi, Maya Matsunaga, Shunya Murakami, Atsuki Kobayashi, Kiichi Niitsu",https://doi.org/10.1145/3287624.3287750,0,1,11
