,PaperName,Year,sources,place,authors
0,Design of a Single-Stage Wireless Charger with 92.3%-Peak-Efficiency for Portable Devices Applications.,2020,IEEE, Taiwan,"Lin Cheng, Xinyuan Ge, Wai Chiu Ng, Wing-Hung Ki, Jiawei Zheng, Tsz Fai Kwok, Chi-Ying Tsui, Ming Liu"
1,"A Capacitance-to-Digital Converter with Differential Bondwire Accelerometer, On-chip Air Pressure and Humidity Sensor in 0.18 μm CMOS.",2020,IEEE, Taiwan,"Sujin Park, Geon-Hwi Lee, Seungmin Oh, SeongHwan Cho"
2,A 28GHz CMOS Differential Bi-Directional Amplifier for 5G NR.,2020,IEEE, Taiwan,"Zheng Li, Jian Pang, Ryo Kubozoe, Xueting Luo, Rui Wu, Yun Wang, Dongwon You, Ashbir Aviat Fadila, Joshua Alvin, Bangan Liu, Zheng Sun, Hongye Huang, Atsushi Shirane, Kenichi Okada"
3,A Quantity Evaluation and Reconfiguration Mechanism for Signal- and Power-Interconnections in 3D-Stacking System.,2020,IEEE, Taiwan,Ching-Hwa Cheng
4,An Inductively Coupled Wireless Bus for Chiplet-Based Systems.,2020,IEEE, Taiwan,"Junichiro Kadomoto, Satoshi Mitsuno, Hidetsugu Irie, Shuichi Sakai"
5,FPGA-based Heterogeneous Solver for Three-Dimensional Routing.,2020,IEEE, Taiwan,"Kento Hasegawa, Ryota Ishikawa, Makoto Nishizawa, Kazushi Kawamura, Masashi Tawada, Nozomu Togawa"
6,PowerNet: Transferable Dynamic IR Drop Estimation via Maximum Convolutional Neural Network.,2020,IEEE, Taiwan,"Zhiyao Xie, Haoxing Ren, Brucek Khailany, Ye Sheng, Santosh Santosh, Jiang Hu, Yiran Chen"
7,FIST: A Feature-Importance Sampling and Tree-Based Method for Automatic Design Flow Parameter Tuning.,2020,IEEE, Taiwan,"Zhiyao Xie, Guan-Qi Fang, Yu-Hung Huang, Haoxing Ren, Yanqing Zhang, Brucek Khailany, Shao-Yun Fang, Jiang Hu, Yiran Chen, Erick Carvajal Barboza"
8,High-Definition Routing Congestion Prediction for Large-Scale FPGAs.,2020,IEEE, Taiwan,"Mohamed Baker Alawieh, Wuxi Li, Yibo Lin, Love Singhal, Mahesh A. Iyer, David Z. Pan"
9,Integrated Airgap Insertion and Layer Reassignment for Circuit Timing optimization.,2020,IEEE, Taiwan,"Younggwang Jung, Daijoon Hyun, Youngsoo Shin"
10,An Adaptive Electromigration Assessment Algorithm for Full-chip Power/Ground Networks.,2020,IEEE, Taiwan,"Shaobin Ma, Xiaoyi Wang, Sheldon X.-D. Tan, Liang Chen, Jian He"
11,Template-based PDN Synthesis in Floorplan and Placement Using Classifier and CNN Techniques.,2020,IEEE, Taiwan,"Vidya A. Chhabria, Andrew B. Kahng, Minsoo Kim, Uday Mallappa, Sachin S. Sapatnekar, Bangqi Xu"
12,Analyzing The Security of The Cache Side Channel Defences With Attack Graphs.,2020,IEEE, Taiwan,"Limin Wang, Ziyuan Zhu, Zhanpeng Wang, Dan Meng"
