,PaperName,Year,sources,place,authors,hyperlink,citationG,citationO,citationI
0,A DSM-based Polar Transmitter with 23.8% System Efficiency.,2021,ACM, Taiwan,"Yuncheng Zhang, Bangan Liu, Xiaofan Gu, Chun Wang, Atsushi Shirane, Kenichi Okada",https://doi.org/10.1145/3394885.3431653,0,0,0
1,A 0.41W 34Gb/s 300GHz CMOS Wireless Transceiver.,2021,ACM, Taiwan,"Ibrahim Abdo, Takuya Fujimura, Tsuyoshi Miura, Korkut Kaan Tokgoz, Atsushi Shirane, Kenichi Okada",https://doi.org/10.1145/3394885.3431645,4,0,0
2,Capacitive Sensor Circuit with Relative Slope-Boost Method Based on a Relaxation Oscillator.,2021,ACM, Taiwan,"Ryo Onishi, Koki Miyamoto, Korkut Kaan Tokgoz, Noboru Ishihara, Hiroyuki Ito",https://doi.org/10.1145/3394885.3431655,0,0,0
3,28GHz Phase Shifter with Temperature Compensation for 5G NR Phased-array Transceiver.,2021,ACM, Taiwan,"Yi Zhang, Jian Pang, Kiyoshi Yanagizawa, Atsushi Shirane, Kenichi Okada",https://doi.org/10.1145/3394885.3431650,2,0,0
4,An up to 35 dBc/Hz Phase Noise Improving Design Methodology for Differential-Ring-Oscillators Applied in Ultra-Low Power Systems.,2021,ACM, Taiwan,"Peter Toth, Hiroki Ishikuro",https://doi.org/10.1145/3394885.3431644,0,0,0
5,Gate Voltage Optimization in Capacitive DC-DC Converters for Thermoelectric Energy Harvesting.,2021,ACM, Taiwan,"Yi Tan, Yohsuke Shiiki, Hiroki Ishikuro",https://doi.org/10.1145/3394885.3431654,0,0,0
6,A 0.57-GOPS/DSP Object Detection PIM Accelerator on FPGA.,2021,ACM, Taiwan,"Bo Jiao, Jinshan Zhang, Yuanyuan Xie, Shunli Wang, Haozhe Zhu, Xiaoyang Kang, Zhiyan Dong, Lihua Zhang, Chixiao Chen",https://doi.org/10.1145/3394885.3431659,5,2,0
7,Supply Noise Reduction Filter for Parallel Integrated Transimpedance Amplifiers.,2021,ACM, Taiwan,"Shinya Tanimura, Akira Tsuchiya, Toshiyuki Inoue, Keiji Kishine",https://doi.org/10.1145/3394885.3431646,0,0,0
8,A Fast Yet Accurate Message-level Communication Bus Model for Timing Prediction of SDFGs on MPSoC.,2021,ACM, Taiwan,"Hai-Dang Vu, Sebastien Le Nours, Sébastien Pillement, Ralf Stemmer, Kim Grüttner",https://doi.org/10.1145/3394885.3431418,3,1,0
9,Simulation of Ideally Switched Circuits in SystemC.,2021,ACM, Taiwan,"Breytner Joseph Fernández-Mesa, Liliana Andrade, Frédéric Pétrot",https://doi.org/10.1145/3394885.3431417,0,0,0
10,HW-BCP: A Custom Hardware Accelerator for SAT Suitable for Single Chip Implementation for Large Benchmarks.,2021,ACM, Taiwan,"Soowang Park, Jae-Won Nam, Sandeep K. Gupta",https://doi.org/10.1145/3394885.3431413,0,0,0
11,A Novel DRAM-Based Process-in-Memory Architecture and its Implementation for CNNs.,2021,ACM, Taiwan,"Chirag Sudarshan, Taha Soliman, Cecilia De la Parra, Christian Weis, Leonardo Ecco, Matthias Jung, Norbert Wehn, Andre Guntoro",https://doi.org/10.1145/3394885.3431522,8,6,0
12,A Quantized Training Framework for Robust and Accurate ReRAM-based Neural Network Accelerators.,2021,ACM, Taiwan,"Chenguang Zhang, Pingqiang Zhou",https://doi.org/10.1145/3394885.3431528,6,1,0
13,Attention-in-Memory for Few-Shot Learning with Configurable Ferroelectric FET Arrays.,2021,ACM, Taiwan,"Dayane Reis, Ann Franchesca Laguna, Michael T. Niemier, Xiaobo Sharon Hu",https://doi.org/10.1145/3394885.3431526,6,1,0
