,PaperName,Year,sources,place,authors
0,Optimizing Stochastic Computing for Low Latency Inference of Convolutional Neural Networks.,2020,IEEE, Germany,"Zhiyuan Chen, Yufei Ma, Zhongfeng Wang"
1,SETGAN: Scale and Energy Trade-off GANs for Image Applications on Mobile Platforms.,2020,IEEE, Germany,"Nitthilan Kanappan Jayakodi, Janardhan Rao Doppa, Partha Pratim Pande"
2,Fixed-Priority Scheduling and Controller Co-Design for Time-Sensitive Networks.,2020,IEEE, Germany,"Xiaotian Dai, Shuai Zhao, Yu Jiang, Xun Jiao, Xiaobo Sharon Hu, Wanli Chang"
3,The Safe and Effective Application of Probabilistic Techniques in Safety-Critical Systems.,2020,IEEE, Germany,"Kunal Agrawal, Sanjoy K. Baruah, Zhishan Guo, Jing Li"
4,Challenges for Building a Cloud Native Scalable and Trustable Multi-tenant AIoT Platform.,2020,IEEE, Germany,"Jinjun Xiong, Huamin Chen"
5,Modeling Emerging Technologies using Machine Learning: Challenges and Opportunities.,2020,IEEE, Germany,"Florian Klemme, Jannik Prinz, Victor M. van Santen, Jörg Henkel, Hussam Amrouch"
6,HitM: High-Throughput ReRAM-based PIM for Multi-Modal Neural Networks.,2020,IEEE, Germany,"Bing Li, Ying Wang, Yiran Chen"
7,Automatic-SSD: Full Hardware Automation over New Memory for High Performance and Energy Efficient PCIe Storage Cards.,2020,IEEE, Germany,"Gyuyoung Park, Myoungsoo Jung"
8,Countering Variations and Thermal Effects for Accurate Optical Neural Networks.,2020,IEEE, Germany,"Ying Zhu, Grace Li Zhang, Bing Li, Xunzhao Yin, Cheng Zhuo, Huaxi Gu, Tsung-Yi Ho, Ulf Schlichtmann"
9,GPU Acceleration in VLSI Back-end Design: Overview and Case Studies.,2020,IEEE, Germany,Yibo Lin
10,GAMMA: Automating the HW Mapping of DNN Models on Accelerators via Genetic Algorithm.,2020,IEEE, Germany,"Sheng-Chun Kao, Tushar Krishna"
11,Word Level Property Directed Reachability.,2020,IEEE, Germany,"Hari Govind V. K., Grigory Fedyukovich, Arie Gurfinkel"
12,An Algorithm for Rule-based Layout Pattern Matching.,2020,IEEE, Germany,"Sheng-Hao Wang, Yen-Jong Chen, Ting-Chi Wang, Oscar Chen"
13,ASAP: An Analytical Strategy for AQFP Placement.,2020,IEEE, Germany,"Yi-Chen Chang, Hongjia Li, Olivia Chen, Yanzhi Wang, Nobuyuki Yoshikawa, Tsung-Yi Ho"
14,Counteracting Adversarial Attacks in Autonomous Driving.,2020,IEEE, Germany,"Qi Sun, Arjun Ashok Rao, Xufeng Yao, Bei Yu, Shiyan Hu"
15,DRAMA: An Approximate DRAM Architecture for High-performance and Energy-efficient Deep Training System.,2020,IEEE, Germany,"Duy Thanh Nguyen, Changhong Min, Nhut-Minh Ho, Ik-Joon Chang"
